day_of_week,median,std
Monday,145.0,938.7813893473773
Tuesday,145.0,939.4209531071506
Wednesday,145.0,936.0258114361864
Thursday,144.0,946.111179991717
Friday,144.0,955.4955585410542
Saturday,144.0,953.9991597053503
Sunday,145.0,942.5983480617815
